"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"C_COMP1";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"330n";;;
2;"C_Op2";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"0.1u";;;
3;"Gen_In1, Gen_In2, TP_GND1, TP_GND2, TP_GND4, TP_GND5, TP_LC1, TP_Out_f1, TP_Out_PD1, TP_Vo1, TP_Vref1, TP_Vx1, Vreg1";"PinHeader_1x01_P2.54mm_Vertical";13;"~";;;
4;"J1, J2";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";2;"Conn_01x02";;;
5;"J_FC1, J_LT1, J_Vref1";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";3;"~";;;
6;"Q1, Q2, Q5, Q7, Q8, Q9";"TO-92_Inline_Wide";6;"BC547";;;
7;"Q3, Q4";"TO-92_Inline_Wide";2;"BC557";;;
8;"Q6";"TO-220-3_Vertical";1;"TIP32A";;;
9;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"680";;;
10;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4k7";;;
11;"R3, R4, Rx1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"10k";;;
12;"R5, R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1Meg";;;
13;"RE1, RE2, RE3, RE4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"100";;;
14;"Rf1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"10k";;;
15;"Ro1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"150";;;
16;"Rref1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k2";;;
17;"RS1";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";1;"1.8";;;
18;"RS2";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";1;"2.2";;;
19;"Rx2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"3k9";;;
20;"R_COMP1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"22";;;
21;"U1";"TO-92_Inline_Wide";1;"TL431LP";;;
22;"U2";"DIP-8_W7.62mm_LongPads";1;"LM358";;;
